protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,First-Hop,1,36.9
ICMP,5G,A,First-Hop,2,21.2
ICMP,5G,A,First-Hop,3,20.1
ICMP,5G,A,First-Hop,4,30.2
ICMP,5G,A,First-Hop,5,22.1
ICMP,5G,A,First-Hop,6,37.2
ICMP,5G,A,First-Hop,7,22.1
ICMP,5G,A,First-Hop,8,23.4
ICMP,5G,A,First-Hop,9,23.7
ICMP,5G,A,First-Hop,10,21.1
ICMP,5G,A,First-Hop,11,31.2
ICMP,5G,A,First-Hop,12,23.2
ICMP,5G,A,First-Hop,13,27.9
ICMP,5G,A,First-Hop,14,24.1
ICMP,5G,A,First-Hop,15,22.6
ICMP,5G,A,First-Hop,16,24.1
ICMP,5G,A,First-Hop,17,20.9
ICMP,5G,A,First-Hop,18,21.6
ICMP,5G,A,First-Hop,19,24.2
ICMP,5G,A,First-Hop,20,23.6
ICMP,5G,A,First-Hop,21,26.1
ICMP,5G,A,First-Hop,22,23.2
ICMP,5G,A,First-Hop,23,24.1
ICMP,5G,A,First-Hop,24,23.1
ICMP,5G,A,First-Hop,25,30.1
ICMP,5G,A,First-Hop,26,24.9
ICMP,5G,A,First-Hop,27,26.7
ICMP,5G,A,First-Hop,28,23.8
ICMP,5G,A,First-Hop,29,27.1
ICMP,5G,A,First-Hop,30,21.0
ICMP,5G,A,First-Hop,31,22.8
ICMP,5G,A,First-Hop,32,22.3
ICMP,5G,A,First-Hop,33,24.0
ICMP,5G,A,First-Hop,34,21.5
ICMP,5G,A,First-Hop,35,26.1
ICMP,5G,A,First-Hop,36,22.8
ICMP,5G,A,First-Hop,37,23.4
ICMP,5G,A,First-Hop,38,30.2
ICMP,5G,A,First-Hop,39,28.7
ICMP,5G,A,First-Hop,40,21.3
ICMP,5G,A,First-Hop,41,20.0
ICMP,5G,A,First-Hop,42,21.1
ICMP,5G,A,First-Hop,43,18.3
ICMP,5G,A,First-Hop,44,25.2
ICMP,5G,A,First-Hop,45,26.5
ICMP,5G,A,First-Hop,46,25.1
ICMP,5G,A,First-Hop,47,21.2
ICMP,5G,A,First-Hop,48,18.1
ICMP,5G,A,First-Hop,49,26.1
ICMP,5G,A,First-Hop,50,23.0
ICMP,5G,A,First-Hop,51,25.6
ICMP,5G,A,First-Hop,52,19.6
ICMP,5G,A,First-Hop,53,21.3
ICMP,5G,A,First-Hop,54,22.1
ICMP,5G,A,First-Hop,55,24.8
ICMP,5G,A,First-Hop,56,27.0
ICMP,5G,A,First-Hop,57,25.5
ICMP,5G,A,First-Hop,58,23.1
ICMP,5G,A,First-Hop,59,24.1
ICMP,5G,A,First-Hop,60,26.3
