protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,US-West,1,84.5
ICMP,5G,B,US-West,2,77.6
ICMP,5G,B,US-West,3,78.1
ICMP,5G,B,US-West,4,82.8
ICMP,5G,B,US-West,5,77.6
ICMP,5G,B,US-West,6,85.5
ICMP,5G,B,US-West,7,84.3
ICMP,5G,B,US-West,8,82.1
ICMP,5G,B,US-West,9,79.8
ICMP,5G,B,US-West,10,79.8
ICMP,5G,B,US-West,11,85.1
ICMP,5G,B,US-West,12,97.8
ICMP,5G,B,US-West,13,83.8
ICMP,5G,B,US-West,14,80.3
ICMP,5G,B,US-West,15,79.0
ICMP,5G,B,US-West,16,77.2
ICMP,5G,B,US-West,17,78.9
ICMP,5G,B,US-West,18,85.9
ICMP,5G,B,US-West,19,84.4
ICMP,5G,B,US-West,20,84.4
ICMP,5G,B,US-West,21,83.0
ICMP,5G,B,US-West,22,80.6
ICMP,5G,B,US-West,23,79.2
ICMP,5G,B,US-West,24,76.6
ICMP,5G,B,US-West,25,86.2
ICMP,5G,B,US-West,26,84.5
ICMP,5G,B,US-West,27,82.5
ICMP,5G,B,US-West,28,88.4
ICMP,5G,B,US-West,29,78.6
ICMP,5G,B,US-West,30,76.2
ICMP,5G,B,US-West,31,75.4
ICMP,5G,B,US-West,32,79.6
ICMP,5G,B,US-West,33,78.2
ICMP,5G,B,US-West,34,79.4
ICMP,5G,B,US-West,35,80.6
ICMP,5G,B,US-West,36,78.2
ICMP,5G,B,US-West,37,86.8
ICMP,5G,B,US-West,38,84.6
ICMP,5G,B,US-West,39,79.9
ICMP,5G,B,US-West,40,77.1
ICMP,5G,B,US-West,41,81.4
ICMP,5G,B,US-West,42,79.9
ICMP,5G,B,US-West,43,86.2
ICMP,5G,B,US-West,44,85.6
ICMP,5G,B,US-West,45,91.6
ICMP,5G,B,US-West,46,80.3
ICMP,5G,B,US-West,47,78.7
ICMP,5G,B,US-West,48,76.7
ICMP,5G,B,US-West,49,77.1
ICMP,5G,B,US-West,50,84.3
ICMP,5G,B,US-West,51,76.8
ICMP,5G,B,US-West,52,77.4
ICMP,5G,B,US-West,53,79.8
ICMP,5G,B,US-West,54,78.9
ICMP,5G,B,US-West,55,77.8
ICMP,5G,B,US-West,56,84.5
ICMP,5G,B,US-West,57,78.1
ICMP,5G,B,US-West,58,79.9
ICMP,5G,B,US-West,59,79.7
ICMP,5G,B,US-West,60,77.8
ICMP,5G,B,US-West,61,77.8
