protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,A,First-Hop,1,64.5
ICMP,4G,A,First-Hop,2,30.7
ICMP,4G,A,First-Hop,3,28.2
ICMP,4G,A,First-Hop,4,25.6
ICMP,4G,A,First-Hop,5,27.5
ICMP,4G,A,First-Hop,6,27.7
ICMP,4G,A,First-Hop,7,24.4
ICMP,4G,A,First-Hop,8,25.3
ICMP,4G,A,First-Hop,9,27.2
ICMP,4G,A,First-Hop,10,24.9
ICMP,4G,A,First-Hop,11,31.5
ICMP,4G,A,First-Hop,12,24.7
ICMP,4G,A,First-Hop,13,25.4
ICMP,4G,A,First-Hop,14,25.7
ICMP,4G,A,First-Hop,15,24.8
ICMP,4G,A,First-Hop,16,27.9
ICMP,4G,A,First-Hop,17,31.6
ICMP,4G,A,First-Hop,18,31.7
ICMP,4G,A,First-Hop,19,32.9
ICMP,4G,A,First-Hop,20,33.4
ICMP,4G,A,First-Hop,21,36.0
ICMP,4G,A,First-Hop,22,38.7
ICMP,4G,A,First-Hop,23,26.2
ICMP,4G,A,First-Hop,24,25.6
ICMP,4G,A,First-Hop,25,31.9
ICMP,4G,A,First-Hop,26,28.8
ICMP,4G,A,First-Hop,27,29.3
ICMP,4G,A,First-Hop,28,38.1
ICMP,4G,A,First-Hop,29,29.5
ICMP,4G,A,First-Hop,30,36.8
ICMP,4G,A,First-Hop,31,24.6
ICMP,4G,A,First-Hop,32,27.7
ICMP,4G,A,First-Hop,33,23.5
ICMP,4G,A,First-Hop,34,29.1
ICMP,4G,A,First-Hop,35,29.0
ICMP,4G,A,First-Hop,36,28.4
ICMP,4G,A,First-Hop,37,25.7
ICMP,4G,A,First-Hop,38,24.5
ICMP,4G,A,First-Hop,39,25.1
ICMP,4G,A,First-Hop,40,29.9
ICMP,4G,A,First-Hop,41,29.3
ICMP,4G,A,First-Hop,42,26.7
ICMP,4G,A,First-Hop,43,29.3
ICMP,4G,A,First-Hop,44,25.2
ICMP,4G,A,First-Hop,45,29.0
ICMP,4G,A,First-Hop,46,29.0
ICMP,4G,A,First-Hop,47,24.4
ICMP,4G,A,First-Hop,48,25.4
ICMP,4G,A,First-Hop,49,25.9
ICMP,4G,A,First-Hop,50,26.6
ICMP,4G,A,First-Hop,51,24.0
ICMP,4G,A,First-Hop,52,31.0
ICMP,4G,A,First-Hop,53,31.0
ICMP,4G,A,First-Hop,54,29.4
ICMP,4G,A,First-Hop,55,30.1
ICMP,4G,A,First-Hop,56,25.7
ICMP,4G,A,First-Hop,57,25.5
ICMP,4G,A,First-Hop,58,24.4
ICMP,4G,A,First-Hop,59,31.2
ICMP,4G,A,First-Hop,60,26.2
