protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,US-East,1,58.2
ICMP,5G,B,US-East,2,54.9
ICMP,5G,B,US-East,3,54.6
ICMP,5G,B,US-East,4,52.5
ICMP,5G,B,US-East,5,58.7
ICMP,5G,B,US-East,6,58.2
ICMP,5G,B,US-East,7,57.6
ICMP,5G,B,US-East,8,64.3
ICMP,5G,B,US-East,9,54.0
ICMP,5G,B,US-East,10,52.2
ICMP,5G,B,US-East,11,50.6
ICMP,5G,B,US-East,12,48.9
ICMP,5G,B,US-East,13,56.4
ICMP,5G,B,US-East,14,55.5
ICMP,5G,B,US-East,15,53.5
ICMP,5G,B,US-East,16,52.5
ICMP,5G,B,US-East,17,50.4
ICMP,5G,B,US-East,18,50.3
ICMP,5G,B,US-East,19,49.3
ICMP,5G,B,US-East,20,56.6
ICMP,5G,B,US-East,21,54.4
ICMP,5G,B,US-East,22,52.6
ICMP,5G,B,US-East,23,50.3
ICMP,5G,B,US-East,24,51.0
ICMP,5G,B,US-East,25,48.9
ICMP,5G,B,US-East,26,58.1
ICMP,5G,B,US-East,27,57.5
ICMP,5G,B,US-East,28,55.6
ICMP,5G,B,US-East,29,51.9
ICMP,5G,B,US-East,30,50.2
ICMP,5G,B,US-East,31,49.0
ICMP,5G,B,US-East,32,58.5
ICMP,5G,B,US-East,33,56.1
ICMP,5G,B,US-East,34,61.4
ICMP,5G,B,US-East,35,54.1
ICMP,5G,B,US-East,36,50.7
ICMP,5G,B,US-East,37,49.6
ICMP,5G,B,US-East,38,49.6
ICMP,5G,B,US-East,39,58.3
ICMP,5G,B,US-East,40,54.2
ICMP,5G,B,US-East,41,53.1
ICMP,5G,B,US-East,42,51.7
ICMP,5G,B,US-East,43,50.6
ICMP,5G,B,US-East,44,49.1
ICMP,5G,B,US-East,45,47.9
ICMP,5G,B,US-East,46,57.0
ICMP,5G,B,US-East,47,56.7
ICMP,5G,B,US-East,48,53.1
ICMP,5G,B,US-East,49,53.5
ICMP,5G,B,US-East,50,50.5
ICMP,5G,B,US-East,51,47.5
ICMP,5G,B,US-East,52,57.8
ICMP,5G,B,US-East,53,56.0
ICMP,5G,B,US-East,54,56.6
ICMP,5G,B,US-East,55,56.0
ICMP,5G,B,US-East,56,55.9
ICMP,5G,B,US-East,57,53.2
ICMP,5G,B,US-East,58,58.0
ICMP,5G,B,US-East,59,58.3
ICMP,5G,B,US-East,60,49.4
ICMP,5G,B,US-East,61,55.4
ICMP,5G,B,US-East,62,54.9
