protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,First-Hop,1,37.4
ICMP,5G,A,First-Hop,2,36.4
ICMP,5G,A,First-Hop,3,30.3
ICMP,5G,A,First-Hop,4,23.3
ICMP,5G,A,First-Hop,5,21.6
ICMP,5G,A,First-Hop,6,22.7
ICMP,5G,A,First-Hop,7,26.0
ICMP,5G,A,First-Hop,8,24.6
ICMP,5G,A,First-Hop,9,27.0
ICMP,5G,A,First-Hop,10,25.6
ICMP,5G,A,First-Hop,11,21.9
ICMP,5G,A,First-Hop,12,23.4
ICMP,5G,A,First-Hop,13,23.0
ICMP,5G,A,First-Hop,14,34.8
ICMP,5G,A,First-Hop,15,36.3
ICMP,5G,A,First-Hop,16,21.3
ICMP,5G,A,First-Hop,17,18.4
ICMP,5G,A,First-Hop,18,33.1
ICMP,5G,A,First-Hop,19,32.6
ICMP,5G,A,First-Hop,20,19.9
ICMP,5G,A,First-Hop,21,39.4
ICMP,5G,A,First-Hop,22,27.5
ICMP,5G,A,First-Hop,23,33.0
ICMP,5G,A,First-Hop,24,22.9
ICMP,5G,A,First-Hop,25,21.1
ICMP,5G,A,First-Hop,26,25.5
ICMP,5G,A,First-Hop,27,24.6
ICMP,5G,A,First-Hop,28,32.4
ICMP,5G,A,First-Hop,29,30.9
ICMP,5G,A,First-Hop,30,28.1
ICMP,5G,A,First-Hop,31,27.4
ICMP,5G,A,First-Hop,32,30.3
ICMP,5G,A,First-Hop,33,33.2
ICMP,5G,A,First-Hop,34,33.1
ICMP,5G,A,First-Hop,35,31.2
ICMP,5G,A,First-Hop,36,18.6
ICMP,5G,A,First-Hop,37,21.2
ICMP,5G,A,First-Hop,38,20.6
ICMP,5G,A,First-Hop,39,29.8
ICMP,5G,A,First-Hop,40,32.9
ICMP,5G,A,First-Hop,41,30.1
ICMP,5G,A,First-Hop,42,28.0
ICMP,5G,A,First-Hop,43,27.0
ICMP,5G,A,First-Hop,44,36.1
ICMP,5G,A,First-Hop,45,21.7
ICMP,5G,A,First-Hop,46,19.3
ICMP,5G,A,First-Hop,47,37.6
ICMP,5G,A,First-Hop,48,21.6
ICMP,5G,A,First-Hop,49,22.7
ICMP,5G,A,First-Hop,50,35.4
ICMP,5G,A,First-Hop,51,33.5
ICMP,5G,A,First-Hop,52,40.4
ICMP,5G,A,First-Hop,53,20.1
ICMP,5G,A,First-Hop,54,22.3
ICMP,5G,A,First-Hop,55,21.7
ICMP,5G,A,First-Hop,56,23.3
ICMP,5G,A,First-Hop,57,32.9
ICMP,5G,A,First-Hop,58,23.1
ICMP,5G,A,First-Hop,59,25.5
ICMP,5G,A,First-Hop,60,23.7
