protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,US-East,1,69.1
ICMP,4G,B,US-East,2,55.0
ICMP,4G,B,US-East,3,51.4
ICMP,4G,B,US-East,4,54.2
ICMP,4G,B,US-East,5,61.3
ICMP,4G,B,US-East,6,60.2
ICMP,4G,B,US-East,7,58.1
ICMP,4G,B,US-East,8,56.1
ICMP,4G,B,US-East,9,54.4
ICMP,4G,B,US-East,10,55.5
ICMP,4G,B,US-East,11,53.8
ICMP,4G,B,US-East,12,53.4
ICMP,4G,B,US-East,13,52.5
ICMP,4G,B,US-East,14,51.1
ICMP,4G,B,US-East,15,59.0
ICMP,4G,B,US-East,16,58.4
ICMP,4G,B,US-East,17,55.8
ICMP,4G,B,US-East,18,57.6
ICMP,4G,B,US-East,19,56.7
ICMP,4G,B,US-East,20,52.1
ICMP,4G,B,US-East,21,52.9
ICMP,4G,B,US-East,22,59.9
ICMP,4G,B,US-East,23,58.4
ICMP,4G,B,US-East,24,58.7
ICMP,4G,B,US-East,25,73.1
ICMP,4G,B,US-East,26,57.6
ICMP,4G,B,US-East,27,55.5
ICMP,4G,B,US-East,28,53.8
ICMP,4G,B,US-East,29,61.7
ICMP,4G,B,US-East,30,53.6
ICMP,4G,B,US-East,31,59.4
ICMP,4G,B,US-East,32,58.3
ICMP,4G,B,US-East,33,60.9
ICMP,4G,B,US-East,34,58.7
ICMP,4G,B,US-East,35,53.4
ICMP,4G,B,US-East,36,53.2
ICMP,4G,B,US-East,37,61.5
ICMP,4G,B,US-East,38,56.7
ICMP,4G,B,US-East,39,59.1
ICMP,4G,B,US-East,40,57.7
ICMP,4G,B,US-East,41,56.9
ICMP,4G,B,US-East,42,52.9
ICMP,4G,B,US-East,43,53.8
ICMP,4G,B,US-East,44,61.6
ICMP,4G,B,US-East,45,59.7
ICMP,4G,B,US-East,46,65.9
ICMP,4G,B,US-East,47,56.5
ICMP,4G,B,US-East,48,58.8
ICMP,4G,B,US-East,49,57.5
ICMP,4G,B,US-East,50,56.2
ICMP,4G,B,US-East,51,62.0
ICMP,4G,B,US-East,52,55.1
ICMP,4G,B,US-East,53,66.3
ICMP,4G,B,US-East,54,59.7
ICMP,4G,B,US-East,55,60.7
ICMP,4G,B,US-East,56,59.8
ICMP,4G,B,US-East,57,56.3
ICMP,4G,B,US-East,58,53.8
ICMP,4G,B,US-East,59,60.3
ICMP,4G,B,US-East,60,51.7
