protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,First-Hop,1,39.2
ICMP,5G,B,First-Hop,2,36.1
ICMP,5G,B,First-Hop,3,24.1
ICMP,5G,B,First-Hop,4,20.1
ICMP,5G,B,First-Hop,5,23.9
ICMP,5G,B,First-Hop,6,22.3
ICMP,5G,B,First-Hop,7,23.1
ICMP,5G,B,First-Hop,8,22.2
ICMP,5G,B,First-Hop,9,24.7
ICMP,5G,B,First-Hop,10,23.5
ICMP,5G,B,First-Hop,11,35.4
ICMP,5G,B,First-Hop,12,34.4
ICMP,5G,B,First-Hop,13,36.9
ICMP,5G,B,First-Hop,14,21.8
ICMP,5G,B,First-Hop,15,22.4
ICMP,5G,B,First-Hop,16,20.1
ICMP,5G,B,First-Hop,17,27.0
ICMP,5G,B,First-Hop,18,22.1
ICMP,5G,B,First-Hop,19,25.1
ICMP,5G,B,First-Hop,20,23.3
ICMP,5G,B,First-Hop,21,23.7
ICMP,5G,B,First-Hop,22,30.3
ICMP,5G,B,First-Hop,23,21.0
ICMP,5G,B,First-Hop,24,25.9
ICMP,5G,B,First-Hop,25,23.5
ICMP,5G,B,First-Hop,26,31.3
ICMP,5G,B,First-Hop,27,23.1
ICMP,5G,B,First-Hop,28,22.7
ICMP,5G,B,First-Hop,29,20.2
ICMP,5G,B,First-Hop,30,23.9
ICMP,5G,B,First-Hop,31,22.2
ICMP,5G,B,First-Hop,32,34.6
ICMP,5G,B,First-Hop,33,22.3
ICMP,5G,B,First-Hop,34,25.2
ICMP,5G,B,First-Hop,35,25.6
ICMP,5G,B,First-Hop,36,21.2
ICMP,5G,B,First-Hop,37,24.6
ICMP,5G,B,First-Hop,38,33.2
ICMP,5G,B,First-Hop,39,21.7
ICMP,5G,B,First-Hop,40,30.1
ICMP,5G,B,First-Hop,41,32.1
ICMP,5G,B,First-Hop,42,30.6
ICMP,5G,B,First-Hop,43,20.5
ICMP,5G,B,First-Hop,44,39.1
ICMP,5G,B,First-Hop,45,23.7
ICMP,5G,B,First-Hop,46,33.9
ICMP,5G,B,First-Hop,47,21.1
ICMP,5G,B,First-Hop,48,22.3
ICMP,5G,B,First-Hop,49,24.2
ICMP,5G,B,First-Hop,50,23.7
ICMP,5G,B,First-Hop,51,30.0
ICMP,5G,B,First-Hop,52,21.6
ICMP,5G,B,First-Hop,53,26.2
ICMP,5G,B,First-Hop,54,23.0
ICMP,5G,B,First-Hop,55,23.0
ICMP,5G,B,First-Hop,56,20.1
ICMP,5G,B,First-Hop,57,21.9
ICMP,5G,B,First-Hop,58,22.1
ICMP,5G,B,First-Hop,59,23.7
ICMP,5G,B,First-Hop,60,20.9
ICMP,5G,B,First-Hop,61,34.6
ICMP,5G,B,First-Hop,62,35.0
ICMP,5G,B,First-Hop,63,25.6
