protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,First-Hop,1,49.3
ICMP,5G,B,First-Hop,2,42.5
ICMP,5G,B,First-Hop,3,32.6
ICMP,5G,B,First-Hop,4,26.5
ICMP,5G,B,First-Hop,5,21.7
ICMP,5G,B,First-Hop,6,29.7
ICMP,5G,B,First-Hop,7,29.0
ICMP,5G,B,First-Hop,8,27.7
ICMP,5G,B,First-Hop,9,27.1
ICMP,5G,B,First-Hop,10,25.8
ICMP,5G,B,First-Hop,11,23.9
ICMP,5G,B,First-Hop,12,34.2
ICMP,5G,B,First-Hop,13,21.7
ICMP,5G,B,First-Hop,14,34.3
ICMP,5G,B,First-Hop,15,27.2
ICMP,5G,B,First-Hop,16,24.9
ICMP,5G,B,First-Hop,17,27.5
ICMP,5G,B,First-Hop,18,22.4
ICMP,5G,B,First-Hop,19,33.6
ICMP,5G,B,First-Hop,20,26.4
ICMP,5G,B,First-Hop,21,23.1
ICMP,5G,B,First-Hop,22,25.8
ICMP,5G,B,First-Hop,23,24.1
ICMP,5G,B,First-Hop,24,24.1
ICMP,5G,B,First-Hop,25,20.4
ICMP,5G,B,First-Hop,26,19.1
ICMP,5G,B,First-Hop,27,37.2
ICMP,5G,B,First-Hop,28,30.9
ICMP,5G,B,First-Hop,29,21.7
ICMP,5G,B,First-Hop,30,18.2
ICMP,5G,B,First-Hop,31,25.8
ICMP,5G,B,First-Hop,32,26.7
ICMP,5G,B,First-Hop,33,29.7
ICMP,5G,B,First-Hop,34,29.1
ICMP,5G,B,First-Hop,35,26.0
ICMP,5G,B,First-Hop,36,25.9
ICMP,5G,B,First-Hop,37,25.3
ICMP,5G,B,First-Hop,38,20.8
ICMP,5G,B,First-Hop,39,35.6
ICMP,5G,B,First-Hop,40,22.9
ICMP,5G,B,First-Hop,41,24.9
ICMP,5G,B,First-Hop,42,22.7
ICMP,5G,B,First-Hop,43,24.3
ICMP,5G,B,First-Hop,44,22.4
ICMP,5G,B,First-Hop,45,30.4
ICMP,5G,B,First-Hop,46,43.4
ICMP,5G,B,First-Hop,47,27.5
ICMP,5G,B,First-Hop,48,25.3
ICMP,5G,B,First-Hop,49,23.8
ICMP,5G,B,First-Hop,50,36.1
ICMP,5G,B,First-Hop,51,25.1
ICMP,5G,B,First-Hop,52,33.5
ICMP,5G,B,First-Hop,53,21.6
ICMP,5G,B,First-Hop,54,25.5
ICMP,5G,B,First-Hop,55,25.8
ICMP,5G,B,First-Hop,56,18.1
ICMP,5G,B,First-Hop,57,23.4
ICMP,5G,B,First-Hop,58,22.6
ICMP,5G,B,First-Hop,59,31.6
ICMP,5G,B,First-Hop,60,33.1
ICMP,5G,B,First-Hop,61,36.0
