protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,US-West,1,85.6
ICMP,5G,A,US-West,2,80.2
ICMP,5G,A,US-West,3,78.9
ICMP,5G,A,US-West,4,78.5
ICMP,5G,A,US-West,5,85.5
ICMP,5G,A,US-West,6,79.1
ICMP,5G,A,US-West,7,80.9
ICMP,5G,A,US-West,8,78.3
ICMP,5G,A,US-West,9,77.9
ICMP,5G,A,US-West,10,77.7
ICMP,5G,A,US-West,11,85.3
ICMP,5G,A,US-West,12,84.8
ICMP,5G,A,US-West,13,89.1
ICMP,5G,A,US-West,14,84.6
ICMP,5G,A,US-West,15,79.7
ICMP,5G,A,US-West,16,78.6
ICMP,5G,A,US-West,17,77.4
ICMP,5G,A,US-West,18,85.0
ICMP,5G,A,US-West,19,84.2
ICMP,5G,A,US-West,20,86.1
ICMP,5G,A,US-West,21,87.3
ICMP,5G,A,US-West,22,77.5
ICMP,5G,A,US-West,23,75.7
ICMP,5G,A,US-West,24,86.5
ICMP,5G,A,US-West,25,82.4
ICMP,5G,A,US-West,26,86.3
ICMP,5G,A,US-West,27,91.2
ICMP,5G,A,US-West,28,94.6
ICMP,5G,A,US-West,29,88.8
ICMP,5G,A,US-West,30,85.3
ICMP,5G,A,US-West,31,85.5
ICMP,5G,A,US-West,32,83.0
ICMP,5G,A,US-West,33,82.1
ICMP,5G,A,US-West,34,80.0
ICMP,5G,A,US-West,35,79.2
ICMP,5G,A,US-West,36,85.0
ICMP,5G,A,US-West,37,83.4
ICMP,5G,A,US-West,38,90.1
ICMP,5G,A,US-West,39,80.7
ICMP,5G,A,US-West,40,80.7
ICMP,5G,A,US-West,41,75.9
ICMP,5G,A,US-West,42,85.8
ICMP,5G,A,US-West,43,85.2
ICMP,5G,A,US-West,44,83.3
ICMP,5G,A,US-West,45,82.4
ICMP,5G,A,US-West,46,80.9
ICMP,5G,A,US-West,47,80.0
ICMP,5G,A,US-West,48,78.4
ICMP,5G,A,US-West,49,76.9
ICMP,5G,A,US-West,50,85.5
ICMP,5G,A,US-West,51,96.8
ICMP,5G,A,US-West,52,83.0
ICMP,5G,A,US-West,53,81.5
ICMP,5G,A,US-West,54,78.4
ICMP,5G,A,US-West,55,77.3
ICMP,5G,A,US-West,56,94.2
ICMP,5G,A,US-West,57,87.1
ICMP,5G,A,US-West,58,83.9
ICMP,5G,A,US-West,59,84.6
ICMP,5G,A,US-West,60,83.0
