protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,First-Hop,1,62.1
ICMP,5G,B,First-Hop,2,64.5
ICMP,5G,B,First-Hop,3,23.4
ICMP,5G,B,First-Hop,4,24.4
ICMP,5G,B,First-Hop,5,23.6
ICMP,5G,B,First-Hop,6,32.4
ICMP,5G,B,First-Hop,7,30.3
ICMP,5G,B,First-Hop,8,24.3
ICMP,5G,B,First-Hop,9,23.0
ICMP,5G,B,First-Hop,10,21.4
ICMP,5G,B,First-Hop,11,35.7
ICMP,5G,B,First-Hop,12,34.2
ICMP,5G,B,First-Hop,13,35.1
ICMP,5G,B,First-Hop,14,23.1
ICMP,5G,B,First-Hop,15,22.0
ICMP,5G,B,First-Hop,16,24.2
ICMP,5G,B,First-Hop,17,31.1
ICMP,5G,B,First-Hop,18,32.5
ICMP,5G,B,First-Hop,19,30.1
ICMP,5G,B,First-Hop,20,31.6
ICMP,5G,B,First-Hop,21,21.3
ICMP,5G,B,First-Hop,22,23.7
ICMP,5G,B,First-Hop,23,30.6
ICMP,5G,B,First-Hop,24,22.1
ICMP,5G,B,First-Hop,25,26.3
ICMP,5G,B,First-Hop,26,24.5
ICMP,5G,B,First-Hop,27,35.8
ICMP,5G,B,First-Hop,28,36.0
ICMP,5G,B,First-Hop,29,33.9
ICMP,5G,B,First-Hop,30,30.7
ICMP,5G,B,First-Hop,31,23.1
ICMP,5G,B,First-Hop,32,24.8
ICMP,5G,B,First-Hop,33,27.8
ICMP,5G,B,First-Hop,34,26.6
ICMP,5G,B,First-Hop,35,23.4
ICMP,5G,B,First-Hop,36,22.4
ICMP,5G,B,First-Hop,37,26.1
ICMP,5G,B,First-Hop,38,25.0
ICMP,5G,B,First-Hop,39,27.1
ICMP,5G,B,First-Hop,40,22.0
ICMP,5G,B,First-Hop,41,27.2
ICMP,5G,B,First-Hop,42,25.8
ICMP,5G,B,First-Hop,43,33.3
ICMP,5G,B,First-Hop,44,31.1
ICMP,5G,B,First-Hop,45,30.5
ICMP,5G,B,First-Hop,46,36.2
ICMP,5G,B,First-Hop,47,22.7
ICMP,5G,B,First-Hop,48,25.0
ICMP,5G,B,First-Hop,49,21.2
ICMP,5G,B,First-Hop,50,23.4
ICMP,5G,B,First-Hop,51,20.3
ICMP,5G,B,First-Hop,52,30.0
ICMP,5G,B,First-Hop,53,28.4
ICMP,5G,B,First-Hop,54,22.6
ICMP,5G,B,First-Hop,55,19.3
ICMP,5G,B,First-Hop,56,25.5
ICMP,5G,B,First-Hop,57,23.3
ICMP,5G,B,First-Hop,58,22.4
ICMP,5G,B,First-Hop,59,24.3
ICMP,5G,B,First-Hop,60,22.3
ICMP,5G,B,First-Hop,61,31.4
