protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,US-East,1,65.2
ICMP,5G,B,US-East,2,52.9
ICMP,5G,B,US-East,3,52.1
ICMP,5G,B,US-East,4,52.7
ICMP,5G,B,US-East,5,48.7
ICMP,5G,B,US-East,6,48.5
ICMP,5G,B,US-East,7,56.6
ICMP,5G,B,US-East,8,56.6
ICMP,5G,B,US-East,9,53.5
ICMP,5G,B,US-East,10,50.8
ICMP,5G,B,US-East,11,49.7
ICMP,5G,B,US-East,12,46.6
ICMP,5G,B,US-East,13,56.7
ICMP,5G,B,US-East,14,53.9
ICMP,5G,B,US-East,15,53.2
ICMP,5G,B,US-East,16,51.9
ICMP,5G,B,US-East,17,50.1
ICMP,5G,B,US-East,18,49.2
ICMP,5G,B,US-East,19,55.1
ICMP,5G,B,US-East,20,55.1
ICMP,5G,B,US-East,21,52.7
ICMP,5G,B,US-East,22,49.6
ICMP,5G,B,US-East,23,49.6
ICMP,5G,B,US-East,24,53.4
ICMP,5G,B,US-East,25,55.3
ICMP,5G,B,US-East,26,55.1
ICMP,5G,B,US-East,27,54.4
ICMP,5G,B,US-East,28,52.8
ICMP,5G,B,US-East,29,51.1
ICMP,5G,B,US-East,30,50.5
ICMP,5G,B,US-East,31,49.0
ICMP,5G,B,US-East,32,46.9
ICMP,5G,B,US-East,33,55.0
ICMP,5G,B,US-East,34,51.8
ICMP,5G,B,US-East,35,54.6
ICMP,5G,B,US-East,36,49.2
ICMP,5G,B,US-East,37,48.0
ICMP,5G,B,US-East,38,55.6
ICMP,5G,B,US-East,39,53.4
ICMP,5G,B,US-East,40,52.0
ICMP,5G,B,US-East,41,51.8
ICMP,5G,B,US-East,42,50.0
ICMP,5G,B,US-East,43,48.3
ICMP,5G,B,US-East,44,56.0
ICMP,5G,B,US-East,45,53.9
ICMP,5G,B,US-East,46,52.2
ICMP,5G,B,US-East,47,49.0
ICMP,5G,B,US-East,48,49.7
ICMP,5G,B,US-East,49,46.8
ICMP,5G,B,US-East,50,54.8
ICMP,5G,B,US-East,51,53.0
ICMP,5G,B,US-East,52,52.1
ICMP,5G,B,US-East,53,50.3
ICMP,5G,B,US-East,54,47.6
ICMP,5G,B,US-East,55,46.8
ICMP,5G,B,US-East,56,56.0
ICMP,5G,B,US-East,57,53.3
ICMP,5G,B,US-East,58,52.0
ICMP,5G,B,US-East,59,49.7
ICMP,5G,B,US-East,60,49.7
ICMP,5G,B,US-East,61,47.9
ICMP,5G,B,US-East,62,46.7
