protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,First-Hop,1,49.9
ICMP,5G,B,First-Hop,2,34.5
ICMP,5G,B,First-Hop,3,31.9
ICMP,5G,B,First-Hop,4,30.6
ICMP,5G,B,First-Hop,5,29.7
ICMP,5G,B,First-Hop,6,25.4
ICMP,5G,B,First-Hop,7,26.1
ICMP,5G,B,First-Hop,8,23.1
ICMP,5G,B,First-Hop,9,23.8
ICMP,5G,B,First-Hop,10,35.7
ICMP,5G,B,First-Hop,11,27.9
ICMP,5G,B,First-Hop,12,27.9
ICMP,5G,B,First-Hop,13,27.4
ICMP,5G,B,First-Hop,14,24.7
ICMP,5G,B,First-Hop,15,24.6
ICMP,5G,B,First-Hop,16,22.8
ICMP,5G,B,First-Hop,17,31.7
ICMP,5G,B,First-Hop,18,30.2
ICMP,5G,B,First-Hop,19,34.8
ICMP,5G,B,First-Hop,20,27.5
ICMP,5G,B,First-Hop,21,25.0
ICMP,5G,B,First-Hop,22,23.4
ICMP,5G,B,First-Hop,23,32.1
ICMP,5G,B,First-Hop,24,21.2
ICMP,5G,B,First-Hop,25,29.0
ICMP,5G,B,First-Hop,26,32.5
ICMP,5G,B,First-Hop,27,27.0
ICMP,5G,B,First-Hop,28,25.4
ICMP,5G,B,First-Hop,29,25.4
ICMP,5G,B,First-Hop,30,23.1
ICMP,5G,B,First-Hop,31,30.6
ICMP,5G,B,First-Hop,32,29.1
ICMP,5G,B,First-Hop,33,27.3
ICMP,5G,B,First-Hop,34,26.3
ICMP,5G,B,First-Hop,35,23.9
ICMP,5G,B,First-Hop,36,23.1
ICMP,5G,B,First-Hop,37,21.9
ICMP,5G,B,First-Hop,38,30.0
ICMP,5G,B,First-Hop,39,26.1
ICMP,5G,B,First-Hop,40,28.1
ICMP,5G,B,First-Hop,41,26.0
ICMP,5G,B,First-Hop,42,24.3
ICMP,5G,B,First-Hop,43,23.6
ICMP,5G,B,First-Hop,44,22.1
ICMP,5G,B,First-Hop,45,38.1
ICMP,5G,B,First-Hop,46,26.0
ICMP,5G,B,First-Hop,47,28.0
ICMP,5G,B,First-Hop,48,27.8
ICMP,5G,B,First-Hop,49,27.8
ICMP,5G,B,First-Hop,50,21.7
ICMP,5G,B,First-Hop,51,24.2
ICMP,5G,B,First-Hop,52,30.8
ICMP,5G,B,First-Hop,53,30.2
ICMP,5G,B,First-Hop,54,28.8
ICMP,5G,B,First-Hop,55,25.8
ICMP,5G,B,First-Hop,56,22.0
ICMP,5G,B,First-Hop,57,24.6
ICMP,5G,B,First-Hop,58,36.6
ICMP,5G,B,First-Hop,59,30.2
ICMP,5G,B,First-Hop,60,29.6
ICMP,5G,B,First-Hop,61,29.6
ICMP,5G,B,First-Hop,62,27.3
ICMP,5G,B,First-Hop,63,24.8
