protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,First-Hop,1,56.6
ICMP,4G,B,First-Hop,2,23.7
ICMP,4G,B,First-Hop,3,23.3
ICMP,4G,B,First-Hop,4,24.3
ICMP,4G,B,First-Hop,5,27.6
ICMP,4G,B,First-Hop,6,36.2
ICMP,4G,B,First-Hop,7,28.3
ICMP,4G,B,First-Hop,8,27.3
ICMP,4G,B,First-Hop,9,22.3
ICMP,4G,B,First-Hop,10,31.6
ICMP,4G,B,First-Hop,11,29.7
ICMP,4G,B,First-Hop,12,28.5
ICMP,4G,B,First-Hop,13,28.8
ICMP,4G,B,First-Hop,14,27.3
ICMP,4G,B,First-Hop,15,25.9
ICMP,4G,B,First-Hop,16,24.2
ICMP,4G,B,First-Hop,17,22.6
ICMP,4G,B,First-Hop,18,22.4
ICMP,4G,B,First-Hop,19,31.4
ICMP,4G,B,First-Hop,20,34.1
ICMP,4G,B,First-Hop,21,29.2
ICMP,4G,B,First-Hop,22,27.1
ICMP,4G,B,First-Hop,23,29.5
ICMP,4G,B,First-Hop,24,30.9
ICMP,4G,B,First-Hop,25,32.8
ICMP,4G,B,First-Hop,26,31.5
ICMP,4G,B,First-Hop,27,29.8
ICMP,4G,B,First-Hop,28,29.9
ICMP,4G,B,First-Hop,29,27.3
ICMP,4G,B,First-Hop,30,27.7
ICMP,4G,B,First-Hop,31,26.9
ICMP,4G,B,First-Hop,32,23.2
ICMP,4G,B,First-Hop,33,22.8
ICMP,4G,B,First-Hop,34,21.8
ICMP,4G,B,First-Hop,35,30.3
ICMP,4G,B,First-Hop,36,29.3
ICMP,4G,B,First-Hop,37,31.1
ICMP,4G,B,First-Hop,38,28.4
ICMP,4G,B,First-Hop,39,25.6
ICMP,4G,B,First-Hop,40,26.0
ICMP,4G,B,First-Hop,41,22.2
ICMP,4G,B,First-Hop,42,23.5
ICMP,4G,B,First-Hop,43,31.2
ICMP,4G,B,First-Hop,44,30.6
ICMP,4G,B,First-Hop,45,39.0
ICMP,4G,B,First-Hop,46,34.8
ICMP,4G,B,First-Hop,47,27.0
ICMP,4G,B,First-Hop,48,28.2
ICMP,4G,B,First-Hop,49,27.9
ICMP,4G,B,First-Hop,50,24.8
ICMP,4G,B,First-Hop,51,31.8
ICMP,4G,B,First-Hop,52,27.3
ICMP,4G,B,First-Hop,53,31.1
ICMP,4G,B,First-Hop,54,33.6
ICMP,4G,B,First-Hop,55,28.6
ICMP,4G,B,First-Hop,56,28.0
ICMP,4G,B,First-Hop,57,34.2
ICMP,4G,B,First-Hop,58,37.5
ICMP,4G,B,First-Hop,59,24.0
ICMP,4G,B,First-Hop,60,31.9
