protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,US-West,1,98.2
ICMP,4G,B,US-West,2,89.4
ICMP,4G,B,US-West,3,80.9
ICMP,4G,B,US-West,4,80.9
ICMP,4G,B,US-West,5,88.7
ICMP,4G,B,US-West,6,87.1
ICMP,4G,B,US-West,7,84.6
ICMP,4G,B,US-West,8,85.1
ICMP,4G,B,US-West,9,88.7
ICMP,4G,B,US-West,10,86.1
ICMP,4G,B,US-West,11,88.1
ICMP,4G,B,US-West,12,86.6
ICMP,4G,B,US-West,13,86.6
ICMP,4G,B,US-West,14,84.7
ICMP,4G,B,US-West,15,90.5
ICMP,4G,B,US-West,16,85.9
ICMP,4G,B,US-West,17,84.6
ICMP,4G,B,US-West,18,95.7
ICMP,4G,B,US-West,19,103.9
ICMP,4G,B,US-West,20,95.1
ICMP,4G,B,US-West,21,85.1
ICMP,4G,B,US-West,22,91.6
ICMP,4G,B,US-West,23,92.4
ICMP,4G,B,US-West,24,91.7
ICMP,4G,B,US-West,25,88.7
ICMP,4G,B,US-West,26,84.1
ICMP,4G,B,US-West,27,83.4
ICMP,4G,B,US-West,28,81.5
ICMP,4G,B,US-West,29,80.9
ICMP,4G,B,US-West,30,87.9
ICMP,4G,B,US-West,31,87.9
ICMP,4G,B,US-West,32,85.7
ICMP,4G,B,US-West,33,85.0
ICMP,4G,B,US-West,34,82.8
ICMP,4G,B,US-West,35,80.7
ICMP,4G,B,US-West,36,89.5
ICMP,4G,B,US-West,37,85.4
ICMP,4G,B,US-West,38,84.3
ICMP,4G,B,US-West,39,83.2
ICMP,4G,B,US-West,40,88.7
ICMP,4G,B,US-West,41,85.5
ICMP,4G,B,US-West,42,82.3
ICMP,4G,B,US-West,43,86.6
ICMP,4G,B,US-West,44,85.3
ICMP,4G,B,US-West,45,87.1
ICMP,4G,B,US-West,46,82.4
ICMP,4G,B,US-West,47,86.2
ICMP,4G,B,US-West,48,86.4
ICMP,4G,B,US-West,49,105.2
ICMP,4G,B,US-West,50,107.1
ICMP,4G,B,US-West,51,101.6
ICMP,4G,B,US-West,52,95.4
ICMP,4G,B,US-West,53,88.4
ICMP,4G,B,US-West,54,101.2
ICMP,4G,B,US-West,55,86.3
ICMP,4G,B,US-West,56,87.1
ICMP,4G,B,US-West,57,86.7
ICMP,4G,B,US-West,58,86.1
ICMP,4G,B,US-West,59,83.7
ICMP,4G,B,US-West,60,88.2
