protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,US-East,1,63.2
ICMP,5G,B,US-East,2,52.0
ICMP,5G,B,US-East,3,50.7
ICMP,5G,B,US-East,4,46.6
ICMP,5G,B,US-East,5,55.7
ICMP,5G,B,US-East,6,56.0
ICMP,5G,B,US-East,7,56.1
ICMP,5G,B,US-East,8,56.4
ICMP,5G,B,US-East,9,61.3
ICMP,5G,B,US-East,10,51.0
ICMP,5G,B,US-East,11,58.0
ICMP,5G,B,US-East,12,56.5
ICMP,5G,B,US-East,13,53.4
ICMP,5G,B,US-East,14,51.8
ICMP,5G,B,US-East,15,50.4
ICMP,5G,B,US-East,16,47.8
ICMP,5G,B,US-East,17,57.3
ICMP,5G,B,US-East,18,53.9
ICMP,5G,B,US-East,19,53.1
ICMP,5G,B,US-East,20,49.6
ICMP,5G,B,US-East,21,49.3
ICMP,5G,B,US-East,22,47.7
ICMP,5G,B,US-East,23,56.2
ICMP,5G,B,US-East,24,55.5
ICMP,5G,B,US-East,25,54.1
ICMP,5G,B,US-East,26,49.9
ICMP,5G,B,US-East,27,47.4
ICMP,5G,B,US-East,28,59.1
ICMP,5G,B,US-East,29,55.9
ICMP,5G,B,US-East,30,54.7
ICMP,5G,B,US-East,31,53.4
ICMP,5G,B,US-East,32,52.9
ICMP,5G,B,US-East,33,50.4
ICMP,5G,B,US-East,34,57.8
ICMP,5G,B,US-East,35,55.5
ICMP,5G,B,US-East,36,54.3
ICMP,5G,B,US-East,37,52.6
ICMP,5G,B,US-East,38,49.6
ICMP,5G,B,US-East,39,48.2
ICMP,5G,B,US-East,40,57.6
ICMP,5G,B,US-East,41,54.0
ICMP,5G,B,US-East,42,53.5
ICMP,5G,B,US-East,43,52.1
ICMP,5G,B,US-East,44,49.5
ICMP,5G,B,US-East,45,47.5
ICMP,5G,B,US-East,46,56.5
ICMP,5G,B,US-East,47,55.9
ICMP,5G,B,US-East,48,54.2
ICMP,5G,B,US-East,49,53.6
ICMP,5G,B,US-East,50,52.3
ICMP,5G,B,US-East,51,52.5
ICMP,5G,B,US-East,52,48.3
ICMP,5G,B,US-East,53,46.6
ICMP,5G,B,US-East,54,55.9
ICMP,5G,B,US-East,55,54.0
ICMP,5G,B,US-East,56,52.0
ICMP,5G,B,US-East,57,50.6
ICMP,5G,B,US-East,58,47.9
ICMP,5G,B,US-East,59,48.6
ICMP,5G,B,US-East,60,53.7
