protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,First-Hop,1,45.5
ICMP,4G,B,First-Hop,2,24.3
ICMP,4G,B,First-Hop,3,29.1
ICMP,4G,B,First-Hop,4,37.1
ICMP,4G,B,First-Hop,5,26.3
ICMP,4G,B,First-Hop,6,29.2
ICMP,4G,B,First-Hop,7,31.9
ICMP,4G,B,First-Hop,8,28.1
ICMP,4G,B,First-Hop,9,29.6
ICMP,4G,B,First-Hop,10,25.5
ICMP,4G,B,First-Hop,11,27.2
ICMP,4G,B,First-Hop,12,28.7
ICMP,4G,B,First-Hop,13,30.2
ICMP,4G,B,First-Hop,14,29.2
ICMP,4G,B,First-Hop,15,31.6
ICMP,4G,B,First-Hop,16,30.0
ICMP,4G,B,First-Hop,17,26.7
ICMP,4G,B,First-Hop,18,27.2
ICMP,4G,B,First-Hop,19,27.2
ICMP,4G,B,First-Hop,20,26.3
ICMP,4G,B,First-Hop,21,26.2
ICMP,4G,B,First-Hop,22,30.9
ICMP,4G,B,First-Hop,23,31.3
ICMP,4G,B,First-Hop,24,32.2
ICMP,4G,B,First-Hop,25,28.6
ICMP,4G,B,First-Hop,26,29.7
ICMP,4G,B,First-Hop,27,26.8
ICMP,4G,B,First-Hop,28,25.7
ICMP,4G,B,First-Hop,29,25.4
ICMP,4G,B,First-Hop,30,28.1
ICMP,4G,B,First-Hop,31,23.6
ICMP,4G,B,First-Hop,32,27.6
ICMP,4G,B,First-Hop,33,32.4
ICMP,4G,B,First-Hop,34,28.7
ICMP,4G,B,First-Hop,35,27.0
ICMP,4G,B,First-Hop,36,26.3
ICMP,4G,B,First-Hop,37,30.9
ICMP,4G,B,First-Hop,38,29.7
ICMP,4G,B,First-Hop,39,28.3
ICMP,4G,B,First-Hop,40,28.1
ICMP,4G,B,First-Hop,41,32.9
ICMP,4G,B,First-Hop,42,33.6
ICMP,4G,B,First-Hop,43,31.2
ICMP,4G,B,First-Hop,44,28.7
ICMP,4G,B,First-Hop,45,29.9
ICMP,4G,B,First-Hop,46,28.1
ICMP,4G,B,First-Hop,47,29.3
ICMP,4G,B,First-Hop,48,26.3
ICMP,4G,B,First-Hop,49,29.8
ICMP,4G,B,First-Hop,50,28.8
ICMP,4G,B,First-Hop,51,31.1
ICMP,4G,B,First-Hop,52,29.1
ICMP,4G,B,First-Hop,53,29.0
ICMP,4G,B,First-Hop,54,25.1
ICMP,4G,B,First-Hop,55,26.0
ICMP,4G,B,First-Hop,56,28.7
ICMP,4G,B,First-Hop,57,27.9
ICMP,4G,B,First-Hop,58,35.5
ICMP,4G,B,First-Hop,59,25.9
ICMP,4G,B,First-Hop,60,31.0
