protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,A,US-West,1,91.4
ICMP,4G,A,US-West,2,97.4
ICMP,4G,A,US-West,3,106.1
ICMP,4G,A,US-West,4,93.5
ICMP,4G,A,US-West,5,93.1
ICMP,4G,A,US-West,6,90.3
ICMP,4G,A,US-West,7,89.8
ICMP,4G,A,US-West,8,86.1
ICMP,4G,A,US-West,9,88.3
ICMP,4G,A,US-West,10,89.2
ICMP,4G,A,US-West,11,85.9
ICMP,4G,A,US-West,12,89.8
ICMP,4G,A,US-West,13,88.2
ICMP,4G,A,US-West,14,83.7
ICMP,4G,A,US-West,15,83.3
ICMP,4G,A,US-West,16,83.2
ICMP,4G,A,US-West,17,80.8
ICMP,4G,A,US-West,18,88.5
ICMP,4G,A,US-West,19,87.8
ICMP,4G,A,US-West,20,87.4
ICMP,4G,A,US-West,21,95.7
ICMP,4G,A,US-West,22,82.5
ICMP,4G,A,US-West,23,81.8
ICMP,4G,A,US-West,24,89.4
ICMP,4G,A,US-West,25,88.5
ICMP,4G,A,US-West,26,96.7
ICMP,4G,A,US-West,27,95.3
ICMP,4G,A,US-West,28,88.3
ICMP,4G,A,US-West,29,86.2
ICMP,4G,A,US-West,30,93.7
ICMP,4G,A,US-West,31,89.1
ICMP,4G,A,US-West,32,88.6
ICMP,4G,A,US-West,33,87.7
ICMP,4G,A,US-West,34,98.7
ICMP,4G,A,US-West,35,87.7
ICMP,4G,A,US-West,36,96.4
ICMP,4G,A,US-West,37,87.4
ICMP,4G,A,US-West,38,95.0
ICMP,4G,A,US-West,39,85.2
ICMP,4G,A,US-West,40,86.2
ICMP,4G,A,US-West,41,88.1
ICMP,4G,A,US-West,42,92.6
ICMP,4G,A,US-West,43,92.2
ICMP,4G,A,US-West,44,113.4
ICMP,4G,A,US-West,45,95.6
ICMP,4G,A,US-West,46,88.5
ICMP,4G,A,US-West,47,99.4
ICMP,4G,A,US-West,48,94.7
ICMP,4G,A,US-West,49,88.4
ICMP,4G,A,US-West,50,91.2
ICMP,4G,A,US-West,51,87.1
ICMP,4G,A,US-West,52,88.4
ICMP,4G,A,US-West,53,87.8
ICMP,4G,A,US-West,54,86.2
ICMP,4G,A,US-West,55,95.8
ICMP,4G,A,US-West,56,86.1
ICMP,4G,A,US-West,57,87.3
ICMP,4G,A,US-West,58,88.1
ICMP,4G,A,US-West,59,86.2
ICMP,4G,A,US-West,60,84.6
