protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,US-West,1,95.6
ICMP,5G,B,US-West,2,74.8
ICMP,5G,B,US-West,3,75.2
ICMP,5G,B,US-West,4,76.2
ICMP,5G,B,US-West,5,77.4
ICMP,5G,B,US-West,6,78.8
ICMP,5G,B,US-West,7,76.1
ICMP,5G,B,US-West,8,78.2
ICMP,5G,B,US-West,9,77.1
ICMP,5G,B,US-West,10,74.0
ICMP,5G,B,US-West,11,79.1
ICMP,5G,B,US-West,12,77.2
ICMP,5G,B,US-West,13,76.7
ICMP,5G,B,US-West,14,88.4
ICMP,5G,B,US-West,15,92.3
ICMP,5G,B,US-West,16,78.2
ICMP,5G,B,US-West,17,77.1
ICMP,5G,B,US-West,18,76.2
ICMP,5G,B,US-West,19,78.9
ICMP,5G,B,US-West,20,77.3
ICMP,5G,B,US-West,21,85.8
ICMP,5G,B,US-West,22,84.1
ICMP,5G,B,US-West,23,77.1
ICMP,5G,B,US-West,24,82.6
ICMP,5G,B,US-West,25,89.9
ICMP,5G,B,US-West,26,81.9
ICMP,5G,B,US-West,27,76.7
ICMP,5G,B,US-West,28,90.3
ICMP,5G,B,US-West,29,95.4
ICMP,5G,B,US-West,30,89.1
ICMP,5G,B,US-West,31,85.5
ICMP,5G,B,US-West,32,78.6
ICMP,5G,B,US-West,33,77.8
ICMP,5G,B,US-West,34,76.1
ICMP,5G,B,US-West,35,93.5
ICMP,5G,B,US-West,36,76.9
ICMP,5G,B,US-West,37,77.1
ICMP,5G,B,US-West,38,80.1
ICMP,5G,B,US-West,39,78.4
ICMP,5G,B,US-West,40,79.1
ICMP,5G,B,US-West,41,76.6
ICMP,5G,B,US-West,42,83.0
ICMP,5G,B,US-West,43,81.2
ICMP,5G,B,US-West,44,79.9
ICMP,5G,B,US-West,45,77.4
ICMP,5G,B,US-West,46,99.2
ICMP,5G,B,US-West,47,85.2
ICMP,5G,B,US-West,48,84.4
ICMP,5G,B,US-West,49,89.1
ICMP,5G,B,US-West,50,80.4
ICMP,5G,B,US-West,51,79.1
ICMP,5G,B,US-West,52,77.4
ICMP,5G,B,US-West,53,85.2
ICMP,5G,B,US-West,54,92.3
ICMP,5G,B,US-West,55,95.6
ICMP,5G,B,US-West,56,97.1
ICMP,5G,B,US-West,57,92.8
ICMP,5G,B,US-West,58,87.0
ICMP,5G,B,US-West,59,84.7
ICMP,5G,B,US-West,60,83.7
