protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,US-East,1,71.9
ICMP,5G,A,US-East,2,81.3
ICMP,5G,A,US-East,3,57.9
ICMP,5G,A,US-East,4,56.9
ICMP,5G,A,US-East,5,55.3
ICMP,5G,A,US-East,6,53.4
ICMP,5G,A,US-East,7,53.7
ICMP,5G,A,US-East,8,53.8
ICMP,5G,A,US-East,9,66.9
ICMP,5G,A,US-East,10,57.5
ICMP,5G,A,US-East,11,56.0
ICMP,5G,A,US-East,12,52.3
ICMP,5G,A,US-East,13,51.2
ICMP,5G,A,US-East,14,61.6
ICMP,5G,A,US-East,15,68.4
ICMP,5G,A,US-East,16,58.5
ICMP,5G,A,US-East,17,54.0
ICMP,5G,A,US-East,18,53.2
ICMP,5G,A,US-East,19,50.8
ICMP,5G,A,US-East,20,58.6
ICMP,5G,A,US-East,21,56.9
ICMP,5G,A,US-East,22,54.5
ICMP,5G,A,US-East,23,53.3
ICMP,5G,A,US-East,24,51.0
ICMP,5G,A,US-East,25,48.5
ICMP,5G,A,US-East,26,68.3
ICMP,5G,A,US-East,27,55.1
ICMP,5G,A,US-East,28,52.9
ICMP,5G,A,US-East,29,51.1
ICMP,5G,A,US-East,30,59.0
ICMP,5G,A,US-East,31,57.9
ICMP,5G,A,US-East,32,55.7
ICMP,5G,A,US-East,33,54.0
ICMP,5G,A,US-East,34,59.1
ICMP,5G,A,US-East,35,59.8
ICMP,5G,A,US-East,36,64.8
ICMP,5G,A,US-East,37,56.8
ICMP,5G,A,US-East,38,61.6
ICMP,5G,A,US-East,39,51.3
ICMP,5G,A,US-East,40,50.6
ICMP,5G,A,US-East,41,56.8
ICMP,5G,A,US-East,42,59.0
ICMP,5G,A,US-East,43,62.7
ICMP,5G,A,US-East,44,52.7
ICMP,5G,A,US-East,45,51.5
ICMP,5G,A,US-East,46,59.9
ICMP,5G,A,US-East,47,59.0
ICMP,5G,A,US-East,48,54.9
ICMP,5G,A,US-East,49,53.1
ICMP,5G,A,US-East,50,55.8
ICMP,5G,A,US-East,51,60.4
ICMP,5G,A,US-East,52,58.4
ICMP,5G,A,US-East,53,55.6
ICMP,5G,A,US-East,54,54.8
ICMP,5G,A,US-East,55,52.9
ICMP,5G,A,US-East,56,53.8
ICMP,5G,A,US-East,57,56.9
ICMP,5G,A,US-East,58,57.4
ICMP,5G,A,US-East,59,54.5
ICMP,5G,A,US-East,60,53.8
