protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,First-Hop,1,54.1
ICMP,5G,A,First-Hop,2,42.1
ICMP,5G,A,First-Hop,3,37.3
ICMP,5G,A,First-Hop,4,31.5
ICMP,5G,A,First-Hop,5,31.2
ICMP,5G,A,First-Hop,6,29.0
ICMP,5G,A,First-Hop,7,33.8
ICMP,5G,A,First-Hop,8,25.4
ICMP,5G,A,First-Hop,9,32.7
ICMP,5G,A,First-Hop,10,31.9
ICMP,5G,A,First-Hop,11,24.7
ICMP,5G,A,First-Hop,12,30.7
ICMP,5G,A,First-Hop,13,26.4
ICMP,5G,A,First-Hop,14,26.0
ICMP,5G,A,First-Hop,15,20.3
ICMP,5G,A,First-Hop,16,32.5
ICMP,5G,A,First-Hop,17,27.8
ICMP,5G,A,First-Hop,18,25.9
ICMP,5G,A,First-Hop,19,23.6
ICMP,5G,A,First-Hop,20,34.4
ICMP,5G,A,First-Hop,21,21.7
ICMP,5G,A,First-Hop,22,19.7
ICMP,5G,A,First-Hop,23,32.3
ICMP,5G,A,First-Hop,24,31.3
ICMP,5G,A,First-Hop,25,30.1
ICMP,5G,A,First-Hop,26,27.7
ICMP,5G,A,First-Hop,27,21.1
ICMP,5G,A,First-Hop,28,33.7
ICMP,5G,A,First-Hop,29,30.9
ICMP,5G,A,First-Hop,30,39.1
ICMP,5G,A,First-Hop,31,37.3
ICMP,5G,A,First-Hop,32,27.2
ICMP,5G,A,First-Hop,33,28.1
ICMP,5G,A,First-Hop,34,20.2
ICMP,5G,A,First-Hop,35,29.1
ICMP,5G,A,First-Hop,36,30.8
ICMP,5G,A,First-Hop,37,28.7
ICMP,5G,A,First-Hop,38,27.4
ICMP,5G,A,First-Hop,39,25.1
ICMP,5G,A,First-Hop,40,30.0
ICMP,5G,A,First-Hop,41,33.5
ICMP,5G,A,First-Hop,42,29.4
ICMP,5G,A,First-Hop,43,30.9
ICMP,5G,A,First-Hop,44,22.7
ICMP,5G,A,First-Hop,45,30.4
ICMP,5G,A,First-Hop,46,23.1
ICMP,5G,A,First-Hop,47,31.7
ICMP,5G,A,First-Hop,48,31.0
ICMP,5G,A,First-Hop,49,29.1
ICMP,5G,A,First-Hop,50,28.3
ICMP,5G,A,First-Hop,51,45.6
ICMP,5G,A,First-Hop,52,21.0
ICMP,5G,A,First-Hop,53,18.5
ICMP,5G,A,First-Hop,54,31.7
ICMP,5G,A,First-Hop,55,30.0
ICMP,5G,A,First-Hop,56,27.1
ICMP,5G,A,First-Hop,57,22.6
ICMP,5G,A,First-Hop,58,24.0
ICMP,5G,A,First-Hop,59,35.2
ICMP,5G,A,First-Hop,60,32.3
