protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,US-West,1,95.4
ICMP,4G,B,US-West,2,95.1
ICMP,4G,B,US-West,3,99.2
ICMP,4G,B,US-West,4,96.5
ICMP,4G,B,US-West,5,88.4
ICMP,4G,B,US-West,6,87.8
ICMP,4G,B,US-West,7,86.9
ICMP,4G,B,US-West,8,89.1
ICMP,4G,B,US-West,9,88.2
ICMP,4G,B,US-West,10,89.3
ICMP,4G,B,US-West,11,88.1
ICMP,4G,B,US-West,12,89.2
ICMP,4G,B,US-West,13,87.1
ICMP,4G,B,US-West,14,87.6
ICMP,4G,B,US-West,15,86.2
ICMP,4G,B,US-West,16,85.2
ICMP,4G,B,US-West,17,85.8
ICMP,4G,B,US-West,18,88.4
ICMP,4G,B,US-West,19,86.1
ICMP,4G,B,US-West,20,87.6
ICMP,4G,B,US-West,21,92.1
ICMP,4G,B,US-West,22,93.4
ICMP,4G,B,US-West,23,88.7
ICMP,4G,B,US-West,24,86.5
ICMP,4G,B,US-West,25,89.1
ICMP,4G,B,US-West,26,87.2
ICMP,4G,B,US-West,27,86.1
ICMP,4G,B,US-West,28,93.1
ICMP,4G,B,US-West,29,95.2
ICMP,4G,B,US-West,30,91.1
ICMP,4G,B,US-West,31,89.1
ICMP,4G,B,US-West,32,89.6
ICMP,4G,B,US-West,33,84.9
ICMP,4G,B,US-West,34,84.7
ICMP,4G,B,US-West,35,89.1
ICMP,4G,B,US-West,36,88.6
ICMP,4G,B,US-West,37,87.9
ICMP,4G,B,US-West,38,89.1
ICMP,4G,B,US-West,39,99.2
ICMP,4G,B,US-West,40,95.4
ICMP,4G,B,US-West,41,98.7
ICMP,4G,B,US-West,42,92.1
ICMP,4G,B,US-West,43,88.9
ICMP,4G,B,US-West,44,84.1
ICMP,4G,B,US-West,45,87.5
ICMP,4G,B,US-West,46,83.9
ICMP,4G,B,US-West,47,82.9
ICMP,4G,B,US-West,48,81.1
ICMP,4G,B,US-West,49,81.6
ICMP,4G,B,US-West,50,89.1
ICMP,4G,B,US-West,51,81.8
ICMP,4G,B,US-West,52,86.0
ICMP,4G,B,US-West,53,88.6
ICMP,4G,B,US-West,54,84.3
ICMP,4G,B,US-West,55,86.0
ICMP,4G,B,US-West,56,82.3
ICMP,4G,B,US-West,57,86.0
ICMP,4G,B,US-West,58,88.2
ICMP,4G,B,US-West,59,81.9
ICMP,4G,B,US-West,60,78.3
