protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,First-Hop,1,39.4
ICMP,4G,B,First-Hop,2,30.2
ICMP,4G,B,First-Hop,3,31.2
ICMP,4G,B,First-Hop,4,30.4
ICMP,4G,B,First-Hop,5,30.4
ICMP,4G,B,First-Hop,6,24.3
ICMP,4G,B,First-Hop,7,25.8
ICMP,4G,B,First-Hop,8,24.7
ICMP,4G,B,First-Hop,9,23.2
ICMP,4G,B,First-Hop,10,23.7
ICMP,4G,B,First-Hop,11,29.6
ICMP,4G,B,First-Hop,12,28.1
ICMP,4G,B,First-Hop,13,25.1
ICMP,4G,B,First-Hop,14,27.8
ICMP,4G,B,First-Hop,15,28.2
ICMP,4G,B,First-Hop,16,29.5
ICMP,4G,B,First-Hop,17,27.5
ICMP,4G,B,First-Hop,18,34.7
ICMP,4G,B,First-Hop,19,26.1
ICMP,4G,B,First-Hop,20,28.7
ICMP,4G,B,First-Hop,21,22.5
ICMP,4G,B,First-Hop,22,34.6
ICMP,4G,B,First-Hop,23,29.3
ICMP,4G,B,First-Hop,24,28.4
ICMP,4G,B,First-Hop,25,29.6
ICMP,4G,B,First-Hop,26,25.7
ICMP,4G,B,First-Hop,27,24.7
ICMP,4G,B,First-Hop,28,31.9
ICMP,4G,B,First-Hop,29,25.0
ICMP,4G,B,First-Hop,30,23.5
ICMP,4G,B,First-Hop,31,22.3
ICMP,4G,B,First-Hop,32,23.2
ICMP,4G,B,First-Hop,33,23.4
ICMP,4G,B,First-Hop,34,29.6
ICMP,4G,B,First-Hop,35,30.4
ICMP,4G,B,First-Hop,36,27.4
ICMP,4G,B,First-Hop,37,24.8
ICMP,4G,B,First-Hop,38,27.3
ICMP,4G,B,First-Hop,39,25.1
ICMP,4G,B,First-Hop,40,23.6
ICMP,4G,B,First-Hop,41,29.3
ICMP,4G,B,First-Hop,42,29.8
ICMP,4G,B,First-Hop,43,31.3
ICMP,4G,B,First-Hop,44,26.4
ICMP,4G,B,First-Hop,45,25.4
ICMP,4G,B,First-Hop,46,26.6
ICMP,4G,B,First-Hop,47,34.1
ICMP,4G,B,First-Hop,48,22.2
ICMP,4G,B,First-Hop,49,28.9
ICMP,4G,B,First-Hop,50,38.5
ICMP,4G,B,First-Hop,51,29.3
ICMP,4G,B,First-Hop,52,27.7
ICMP,4G,B,First-Hop,53,27.2
ICMP,4G,B,First-Hop,54,27.3
ICMP,4G,B,First-Hop,55,25.3
ICMP,4G,B,First-Hop,56,24.4
ICMP,4G,B,First-Hop,57,31.4
ICMP,4G,B,First-Hop,58,29.9
ICMP,4G,B,First-Hop,59,33.4
ICMP,4G,B,First-Hop,60,29.8
