protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,B,First-Hop,1,59.1
ICMP,5G,B,First-Hop,2,45.6
ICMP,5G,B,First-Hop,3,36.2
ICMP,5G,B,First-Hop,4,29.6
ICMP,5G,B,First-Hop,5,21.3
ICMP,5G,B,First-Hop,6,26.6
ICMP,5G,B,First-Hop,7,24.7
ICMP,5G,B,First-Hop,8,24.3
ICMP,5G,B,First-Hop,9,37.1
ICMP,5G,B,First-Hop,10,29.8
ICMP,5G,B,First-Hop,11,24.1
ICMP,5G,B,First-Hop,12,26.4
ICMP,5G,B,First-Hop,13,34.6
ICMP,5G,B,First-Hop,14,39.1
ICMP,5G,B,First-Hop,15,21.6
ICMP,5G,B,First-Hop,16,32.3
ICMP,5G,B,First-Hop,17,31.7
ICMP,5G,B,First-Hop,18,29.7
ICMP,5G,B,First-Hop,19,33.7
ICMP,5G,B,First-Hop,20,34.4
ICMP,5G,B,First-Hop,21,37.4
ICMP,5G,B,First-Hop,22,21.3
ICMP,5G,B,First-Hop,23,25.3
ICMP,5G,B,First-Hop,24,25.3
ICMP,5G,B,First-Hop,25,34.1
ICMP,5G,B,First-Hop,26,26.9
ICMP,5G,B,First-Hop,27,34.9
ICMP,5G,B,First-Hop,28,27.9
ICMP,5G,B,First-Hop,29,25.9
ICMP,5G,B,First-Hop,30,23.8
ICMP,5G,B,First-Hop,31,34.3
ICMP,5G,B,First-Hop,32,35.7
ICMP,5G,B,First-Hop,33,27.0
ICMP,5G,B,First-Hop,34,24.8
ICMP,5G,B,First-Hop,35,22.2
ICMP,5G,B,First-Hop,36,21.3
ICMP,5G,B,First-Hop,37,32.0
ICMP,5G,B,First-Hop,38,31.2
ICMP,5G,B,First-Hop,39,29.9
ICMP,5G,B,First-Hop,40,22.4
ICMP,5G,B,First-Hop,41,20.6
ICMP,5G,B,First-Hop,42,28.9
ICMP,5G,B,First-Hop,43,32.8
ICMP,5G,B,First-Hop,44,32.0
ICMP,5G,B,First-Hop,45,21.1
ICMP,5G,B,First-Hop,46,25.4
ICMP,5G,B,First-Hop,47,26.8
ICMP,5G,B,First-Hop,48,23.2
ICMP,5G,B,First-Hop,49,34.2
ICMP,5G,B,First-Hop,50,46.1
ICMP,5G,B,First-Hop,51,32.0
ICMP,5G,B,First-Hop,52,29.5
ICMP,5G,B,First-Hop,53,22.9
ICMP,5G,B,First-Hop,54,24.8
ICMP,5G,B,First-Hop,55,32.5
ICMP,5G,B,First-Hop,56,31.4
ICMP,5G,B,First-Hop,57,22.6
ICMP,5G,B,First-Hop,58,19.4
ICMP,5G,B,First-Hop,59,22.4
ICMP,5G,B,First-Hop,60,21.3
