protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,B,US-East,1,67.5
ICMP,4G,B,US-East,2,59.3
ICMP,4G,B,US-East,3,57.6
ICMP,4G,B,US-East,4,56.1
ICMP,4G,B,US-East,5,58.8
ICMP,4G,B,US-East,6,58.5
ICMP,4G,B,US-East,7,57.8
ICMP,4G,B,US-East,8,58.2
ICMP,4G,B,US-East,9,55.9
ICMP,4G,B,US-East,10,58.1
ICMP,4G,B,US-East,11,53.2
ICMP,4G,B,US-East,12,53.5
ICMP,4G,B,US-East,13,58.5
ICMP,4G,B,US-East,14,68.2
ICMP,4G,B,US-East,15,57.3
ICMP,4G,B,US-East,16,56.8
ICMP,4G,B,US-East,17,54.8
ICMP,4G,B,US-East,18,51.9
ICMP,4G,B,US-East,19,60.2
ICMP,4G,B,US-East,20,61.7
ICMP,4G,B,US-East,21,59.4
ICMP,4G,B,US-East,22,65.6
ICMP,4G,B,US-East,23,65.3
ICMP,4G,B,US-East,24,56.3
ICMP,4G,B,US-East,25,62.1
ICMP,4G,B,US-East,26,59.6
ICMP,4G,B,US-East,27,58.1
ICMP,4G,B,US-East,28,57.6
ICMP,4G,B,US-East,29,59.7
ICMP,4G,B,US-East,30,60.7
ICMP,4G,B,US-East,31,60.4
ICMP,4G,B,US-East,32,58.1
ICMP,4G,B,US-East,33,53.5
ICMP,4G,B,US-East,34,56.6
ICMP,4G,B,US-East,35,59.8
ICMP,4G,B,US-East,36,61.2
ICMP,4G,B,US-East,37,61.8
ICMP,4G,B,US-East,38,61.4
ICMP,4G,B,US-East,39,59.9
ICMP,4G,B,US-East,40,63.1
ICMP,4G,B,US-East,41,62.8
ICMP,4G,B,US-East,42,56.1
ICMP,4G,B,US-East,43,61.0
ICMP,4G,B,US-East,44,53.0
ICMP,4G,B,US-East,45,60.2
ICMP,4G,B,US-East,46,61.9
ICMP,4G,B,US-East,47,59.6
ICMP,4G,B,US-East,48,60.0
ICMP,4G,B,US-East,49,57.3
ICMP,4G,B,US-East,50,65.1
ICMP,4G,B,US-East,51,70.3
ICMP,4G,B,US-East,52,64.5
ICMP,4G,B,US-East,53,58.0
ICMP,4G,B,US-East,54,56.1
ICMP,4G,B,US-East,55,61.2
ICMP,4G,B,US-East,56,58.8
ICMP,4G,B,US-East,57,58.2
ICMP,4G,B,US-East,58,57.5
ICMP,4G,B,US-East,59,63.0
ICMP,4G,B,US-East,60,60.6
