protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,5G,A,First-Hop,1,62.1
ICMP,5G,A,First-Hop,2,34.2
ICMP,5G,A,First-Hop,3,36.1
ICMP,5G,A,First-Hop,4,23.8
ICMP,5G,A,First-Hop,5,21.9
ICMP,5G,A,First-Hop,6,36.1
ICMP,5G,A,First-Hop,7,34.4
ICMP,5G,A,First-Hop,8,21.4
ICMP,5G,A,First-Hop,9,23.2
ICMP,5G,A,First-Hop,10,20.0
ICMP,5G,A,First-Hop,11,19.1
ICMP,5G,A,First-Hop,12,33.0
ICMP,5G,A,First-Hop,13,26.0
ICMP,5G,A,First-Hop,14,22.1
ICMP,5G,A,First-Hop,15,28.3
ICMP,5G,A,First-Hop,16,21.0
ICMP,5G,A,First-Hop,17,22.3
ICMP,5G,A,First-Hop,18,25.9
ICMP,5G,A,First-Hop,19,21.5
ICMP,5G,A,First-Hop,20,23.8
ICMP,5G,A,First-Hop,21,23.6
ICMP,5G,A,First-Hop,22,21.7
ICMP,5G,A,First-Hop,23,33.4
ICMP,5G,A,First-Hop,24,39.8
ICMP,5G,A,First-Hop,25,22.9
ICMP,5G,A,First-Hop,26,21.7
ICMP,5G,A,First-Hop,27,22.9
ICMP,5G,A,First-Hop,28,21.1
ICMP,5G,A,First-Hop,29,33.4
ICMP,5G,A,First-Hop,30,30.9
ICMP,5G,A,First-Hop,31,21.7
ICMP,5G,A,First-Hop,32,20.3
ICMP,5G,A,First-Hop,33,22.9
ICMP,5G,A,First-Hop,34,26.9
ICMP,5G,A,First-Hop,35,20.6
ICMP,5G,A,First-Hop,36,31.1
ICMP,5G,A,First-Hop,37,39.4
ICMP,5G,A,First-Hop,38,19.6
ICMP,5G,A,First-Hop,39,22.8
ICMP,5G,A,First-Hop,40,23.6
ICMP,5G,A,First-Hop,41,32.5
ICMP,5G,A,First-Hop,42,33.0
ICMP,5G,A,First-Hop,43,31.2
ICMP,5G,A,First-Hop,44,36.9
ICMP,5G,A,First-Hop,45,24.2
ICMP,5G,A,First-Hop,46,22.5
ICMP,5G,A,First-Hop,47,21.9
ICMP,5G,A,First-Hop,48,34.6
ICMP,5G,A,First-Hop,49,22.7
ICMP,5G,A,First-Hop,50,47.5
ICMP,5G,A,First-Hop,51,23.4
ICMP,5G,A,First-Hop,52,30.7
ICMP,5G,A,First-Hop,53,39.8
ICMP,5G,A,First-Hop,54,24.7
ICMP,5G,A,First-Hop,55,21.8
ICMP,5G,A,First-Hop,56,24.6
ICMP,5G,A,First-Hop,57,22.8
ICMP,5G,A,First-Hop,58,21.8
ICMP,5G,A,First-Hop,59,27.3
ICMP,5G,A,First-Hop,60,20.6
