protocol,network_type,ue_location,target_server,probe_num,rtt_in_ms
ICMP,4G,A,First-Hop,1,63.8
ICMP,4G,A,First-Hop,2,22.5
ICMP,4G,A,First-Hop,3,29.3
ICMP,4G,A,First-Hop,4,36.7
ICMP,4G,A,First-Hop,5,31.3
ICMP,4G,A,First-Hop,6,29.6
ICMP,4G,A,First-Hop,7,27.8
ICMP,4G,A,First-Hop,8,28.7
ICMP,4G,A,First-Hop,9,27.9
ICMP,4G,A,First-Hop,10,36.5
ICMP,4G,A,First-Hop,11,26.6
ICMP,4G,A,First-Hop,12,31.6
ICMP,4G,A,First-Hop,13,36.2
ICMP,4G,A,First-Hop,14,35.5
ICMP,4G,A,First-Hop,15,35.4
ICMP,4G,A,First-Hop,16,36.7
ICMP,4G,A,First-Hop,17,28.3
ICMP,4G,A,First-Hop,18,27.9
ICMP,4G,A,First-Hop,19,30.7
ICMP,4G,A,First-Hop,20,25.5
ICMP,4G,A,First-Hop,21,30.1
ICMP,4G,A,First-Hop,22,30.6
ICMP,4G,A,First-Hop,23,37.8
ICMP,4G,A,First-Hop,24,32.1
ICMP,4G,A,First-Hop,25,37.3
ICMP,4G,A,First-Hop,26,34.5
ICMP,4G,A,First-Hop,27,28.4
ICMP,4G,A,First-Hop,28,26.7
ICMP,4G,A,First-Hop,29,30.1
ICMP,4G,A,First-Hop,30,30.6
ICMP,4G,A,First-Hop,31,34.1
ICMP,4G,A,First-Hop,32,29.6
ICMP,4G,A,First-Hop,33,28.3
ICMP,4G,A,First-Hop,34,30.3
ICMP,4G,A,First-Hop,35,27.0
ICMP,4G,A,First-Hop,36,26.3
ICMP,4G,A,First-Hop,37,27.2
ICMP,4G,A,First-Hop,38,32.6
ICMP,4G,A,First-Hop,39,28.8
ICMP,4G,A,First-Hop,40,30.5
ICMP,4G,A,First-Hop,41,28.2
ICMP,4G,A,First-Hop,42,36.6
ICMP,4G,A,First-Hop,43,37.0
ICMP,4G,A,First-Hop,44,26.8
ICMP,4G,A,First-Hop,45,25.7
ICMP,4G,A,First-Hop,46,27.8
ICMP,4G,A,First-Hop,47,29.3
ICMP,4G,A,First-Hop,48,28.9
ICMP,4G,A,First-Hop,49,32.7
ICMP,4G,A,First-Hop,50,31.4
ICMP,4G,A,First-Hop,51,33.2
ICMP,4G,A,First-Hop,52,30.1
ICMP,4G,A,First-Hop,53,26.8
ICMP,4G,A,First-Hop,54,25.6
ICMP,4G,A,First-Hop,55,26.4
ICMP,4G,A,First-Hop,56,24.6
ICMP,4G,A,First-Hop,57,32.5
ICMP,4G,A,First-Hop,58,34.1
ICMP,4G,A,First-Hop,59,27.9
ICMP,4G,A,First-Hop,60,31.1
