protocol,radio_type,num_tcp_conn,run_num,seq_num,throughput_mbps,orientation_angle_in_degrees
TCP,5G,8,3,54,2065.6779751357376,0
TCP,5G,8,3,55,2044.751962904599,0
TCP,5G,8,3,56,1992.131013400313,0
TCP,5G,8,3,57,2065.8828721361247,0
TCP,5G,8,3,58,2023.798001060205,0
TCP,5G,8,3,59,2065.5666779371772,0
TCP,5G,8,3,60,2018.6680000832969,0
TCP,5G,8,4,20,1855.8312943388169,0
TCP,5G,8,4,21,1772.1978036459116,0
TCP,5G,8,4,22,1688.2226551385725,0
TCP,5G,8,4,23,1960.7609204612838,0
TCP,5G,8,4,24,1730.1916509835,0
TCP,5G,8,4,25,1730.1227629414755,0
TCP,5G,8,4,26,1677.8020038531245,0
TCP,5G,8,4,27,1803.5167506398154,0
TCP,5G,8,4,28,2055.282952663825,0
TCP,5G,8,4,29,1709.0863825060583,0
TCP,5G,8,4,30,1520.4870392674004,0
TCP,5G,8,4,31,1688.1972975599767,0
TCP,5G,8,4,32,1688.2037375077732,0
TCP,5G,8,4,33,1510.005602088853,0
TCP,5G,8,4,34,1959.7904789666165,0
TCP,5G,8,4,35,1919.88462105758,0
TCP,5G,8,4,36,2013.2980805137327,0
TCP,5G,8,4,37,1834.941939878244,0
TCP,5G,8,4,38,2063.7590405486494,0
TCP,5G,8,4,39,1605.289206121302,0
TCP,5G,8,4,40,1604.7819422358443,0
TCP,5G,8,4,41,1572.9363783304736,0
TCP,5G,8,4,42,1688.176770554275,0
TCP,5G,8,4,43,1625.245913852602,0
TCP,5G,8,4,44,1520.3271826744947,0
TCP,5G,8,4,45,1478.6620845273444,0
TCP,5G,8,4,46,1540.6379261358927,0
TCP,5G,8,4,47,1573.6147331564534,0
TCP,5G,8,4,48,1897.9700736894558,0
TCP,5G,8,4,49,2044.7617132253995,0
TCP,5G,8,4,50,2034.201065650424,0
TCP,5G,8,4,51,2055.2153300197438,0
TCP,5G,8,4,52,2033.3241102500078,0
TCP,5G,8,4,53,1898.6975563322733,0
TCP,5G,8,4,54,1761.640860624959,0
TCP,5G,8,4,55,1772.0030296128805,0
TCP,5G,8,4,56,1971.4573091664176,0
TCP,5G,8,4,57,1981.8322652816355,0
TCP,5G,8,4,58,1887.3405049131272,0
TCP,5G,8,4,59,2023.8245401230524,0
TCP,5G,8,4,60,1875.0997702425918,0
TCP,5G,8,5,20,1635.800010281278,0
TCP,5G,8,5,21,1897.9225600000002,0
TCP,5G,8,5,22,1918.9096351260928,0
TCP,5G,8,5,23,1845.4585606713736,0
TCP,5G,8,5,24,1992.2046290451792,0
TCP,5G,8,5,25,2076.425533920577,0
TCP,5G,8,5,26,2034.119591827618,0
TCP,5G,8,5,27,1960.9035072475688,0
TCP,5G,8,5,28,2034.2437450195416,0
TCP,5G,8,5,29,2044.5881714175503,0
TCP,5G,8,5,30,2044.747575290576,0
TCP,5G,8,5,31,2055.268741738875,0
TCP,5G,8,5,32,2044.739775134362,0
TCP,5G,8,5,33,2065.7213153424045,0
TCP,5G,8,5,34,1950.132834487255,0
TCP,5G,8,5,35,2128.9138235653063,0
TCP,5G,8,5,36,2023.5476030813734,0
TCP,5G,8,5,37,2044.6554397455868,0
TCP,5G,8,5,38,2044.9196813784588,0
TCP,5G,8,5,39,2044.7821892017587,0
TCP,5G,8,5,40,2055.1349726636336,0
TCP,5G,8,5,41,1992.3005750191392,0
TCP,5G,8,5,42,2065.668125342396,0
TCP,5G,8,5,43,2023.7454075194405,0
TCP,5G,8,5,44,2013.301920643741,0
TCP,5G,8,5,45,2044.7334375512573,0
TCP,5G,8,5,46,2055.201120029907,0
TCP,5G,8,5,47,2065.688317519844,0
TCP,5G,8,5,48,2002.7400508032733,0
TCP,5G,8,5,49,2065.7651499012272,0
TCP,5G,8,5,50,2034.23550000185,0
TCP,5G,8,5,51,1992.282050076556,0
TCP,5G,8,5,52,2023.830813094155,0
TCP,5G,8,5,53,2065.608043637085,0
TCP,5G,8,5,54,2034.1094080586515,0
TCP,5G,8,5,55,1971.3543705030304,0
TCP,5G,8,5,56,1939.8924253709488,0
TCP,5G,8,5,57,1950.223028444669,0
TCP,5G,8,5,58,2013.4790625628127,0
TCP,5G,8,5,59,1992.226952283472,0
TCP,5G,8,5,60,2190.320941963353,0
TCP,5G,8,6,20,1520.415625252017,0
TCP,5G,8,6,21,1688.05522871041,0
TCP,5G,8,6,22,1950.4643615468253,0
TCP,5G,8,6,23,2034.2985518358448,0
TCP,5G,8,6,24,2013.2520000962438,0
TCP,5G,8,6,25,2054.421831579325,0
TCP,5G,8,6,26,2024.5679165786873,0
TCP,5G,8,6,27,2044.663726729903,0
TCP,5G,8,6,28,2034.1806965828562,0
TCP,5G,8,6,29,2055.309414909815,0
TCP,5G,8,6,30,2033.4893602034963,0
TCP,5G,8,6,31,2055.9819806450173,0
TCP,5G,8,6,32,2013.0441844240368,0
TCP,5G,8,6,33,2086.8936222749567,0
TCP,5G,8,6,34,2065.7075250793773,0
TCP,5G,8,6,35,2034.2107653497849,0
TCP,5G,8,6,36,2013.2476801652515,0
TCP,5G,8,6,37,2065.540086576389,0
TCP,5G,8,6,38,2065.961196871373,0
TCP,5G,8,6,39,2044.700775245938,0
TCP,5G,8,6,40,2044.7168625196427,0
TCP,5G,8,6,41,2055.1722106571297,0
TCP,5G,8,6,42,2013.1411277357265,0
TCP,5G,8,6,43,2065.8203151357748,0
TCP,5G,8,6,44,2013.2078416754807,0
TCP,5G,8,6,45,2076.274039215882,0
TCP,5G,8,6,46,2012.2454774830521,0
TCP,5G,8,6,47,2056.159018979698,0
TCP,5G,8,6,48,2023.7497500018405,0
TCP,5G,8,6,49,2065.7070325733885,0
TCP,5G,8,6,50,2044.7641508201289,0
TCP,5G,8,6,51,2002.763925131604,0
TCP,5G,8,6,52,2076.1473155297713,0
TCP,5G,8,6,53,2033.4690053864056,0
TCP,5G,8,6,54,2012.565363857376,0
TCP,5G,8,6,55,2014.760789131035,0
TCP,5G,8,6,56,2034.2335600074005,0
TCP,5G,8,6,57,2076.15969020818,0
TCP,5G,8,6,58,2033.572237594552,0
TCP,5G,8,6,59,2054.176069363011,0
TCP,5G,8,6,60,1620.0802236350119,0
TCP,5G,8,7,20,2044.6393534383794,45
TCP,5G,8,7,21,2023.834673403393,45
TCP,5G,8,7,22,2065.6287271083465,45
TCP,5G,8,7,23,2044.8192420109451,45
TCP,5G,8,7,24,1996.0476755482337,45
TCP,5G,8,7,25,2051.655964048208,45
TCP,5G,8,7,26,2064.9591869949127,45
TCP,5G,8,7,27,2034.9923800671445,45
TCP,5G,8,7,28,2034.221435125924,45
TCP,5G,8,7,29,2055.155551387963,45
TCP,5G,8,7,30,2013.251520102996,45
TCP,5G,8,7,31,2063.186020415011,45
TCP,5G,8,7,32,1984.1876950036844,45
TCP,5G,8,7,33,2076.099798135477,45
TCP,5G,8,7,34,2023.90512663388,45
TCP,5G,8,7,35,2034.0890408266225,45
TCP,5G,8,7,36,2055.3794941491615,45
TCP,5G,8,7,37,1992.1690078924933,45
TCP,5G,8,7,38,2034.194760895443,45
TCP,5G,8,7,39,2055.1820103533914,45
TCP,5G,8,7,40,2065.955285363397,45
TCP,5G,8,7,41,2055.1349726636336,45
TCP,5G,8,7,42,2013.2640000018314,45
TCP,5G,8,7,43,2074.617951840414,45
TCP,5G,8,7,44,2024.1406497465173,45
TCP,5G,8,7,45,2035.3933664657309,45
TCP,5G,8,7,46,2044.7129625512566,45
TCP,5G,8,7,47,2044.751962904599,45
TCP,5G,8,7,48,2023.0841202755594,45
TCP,5G,8,7,49,2066.3351685032685,45
TCP,5G,8,7,50,2023.6807549857467,45
TCP,5G,8,7,51,2054.968398161016,45
TCP,5G,8,7,52,2044.7334375512573,45
TCP,5G,8,7,53,2013.570286007168,45
TCP,5G,8,7,54,2042.5823937534951,45
TCP,5G,8,7,55,2025.8425805477884,45
TCP,5G,8,7,56,2065.731658160506,45
TCP,5G,8,7,57,2034.143839307016,45
TCP,5G,8,7,58,2023.859283220977,45
TCP,5G,8,7,59,2044.698337802308,45
TCP,5G,8,7,60,2041.6779421440951,45
TCP,5G,8,8,20,1646.3369357028926,45
TCP,5G,8,8,21,1740.6291050285947,45
TCP,5G,8,8,22,1897.810799081532,45
TCP,5G,8,8,23,1971.4728214038728,45
TCP,5G,8,8,24,1814.03648,45
TCP,5G,8,8,25,1698.5501670311735,45
TCP,5G,8,8,26,1761.3557160437326,45
TCP,5G,8,8,27,1772.488988270469,45
TCP,5G,8,8,28,1803.4909519807238,45
TCP,5G,8,8,29,1876.9456700153642,45
TCP,5G,8,8,30,1876.962227566683,45
TCP,5G,8,8,31,1709.069676977656,45
TCP,5G,8,8,32,1824.635347011372,45
TCP,5G,8,8,33,1751.093530460265,45
TCP,5G,8,8,34,1781.7117723078125,45
TCP,5G,8,8,35,1846.503672353606,45
TCP,5G,8,8,36,1772.0047194420526,45
TCP,5G,8,8,37,1730.225065722107,45
TCP,5G,8,8,38,1781.9890704293189,45
TCP,5G,8,8,39,1751.5967462168048,45
TCP,5G,8,8,40,1551.898770025494,45
TCP,5G,8,8,41,1489.0180360807792,45
TCP,5G,8,8,42,1709.254270825296,45
TCP,5G,8,8,43,2044.7232,45
TCP,5G,8,8,44,1803.536100118512,45
TCP,5G,8,8,45,1803.410120961505,45
TCP,5G,8,8,46,1803.6410245213567,45
TCP,5G,8,8,47,1814.1126031942565,45
TCP,5G,8,8,48,1708.9670062676098,45
TCP,5G,8,8,49,1793.1778271041378,45
TCP,5G,8,8,50,1730.2126897425055,45
TCP,5G,8,8,51,2055.1227236186223,45
TCP,5G,8,8,52,2044.874336170438,45
TCP,5G,8,8,53,1709.069676977656,45
TCP,5G,8,8,54,1750.9449178930506,45
TCP,5G,8,8,55,2055.4432066957093,45
TCP,5G,8,8,56,2044.6617768451968,45
TCP,5G,8,8,57,1961.0512583829925,45
TCP,5G,8,8,58,1960.7641927124066,45
TCP,5G,8,8,59,1813.9711748510642,45
TCP,5G,8,8,60,1723.7632567688038,45
TCP,5G,8,9,20,2014.1644007953566,45
TCP,5G,8,9,21,1824.4417685493893,45
TCP,5G,8,9,22,1928.751224877108,45
TCP,5G,8,9,23,2055.9427518995844,45
TCP,5G,8,9,24,2044.7378251046066,45
TCP,5G,8,9,25,2023.7859380799111,45
TCP,5G,8,9,26,1866.441250309373,45
TCP,5G,8,9,27,1970.8515827031301,45
TCP,5G,8,9,28,2045.281539920809,45
TCP,5G,8,9,29,1908.3359777423905,45
TCP,5G,8,9,30,1782.623826117168,45
TCP,5G,8,9,31,1751.0567924223096,45
TCP,5G,8,9,32,1835.0211250938776,45
TCP,5G,8,9,33,1824.5074501198885,45
TCP,5G,8,9,34,1939.8540375689167,45
TCP,5G,8,9,35,2075.3190425712587,45
TCP,5G,8,9,36,2003.6338162036407,45
TCP,5G,8,9,37,2034.249565072271,45
TCP,5G,8,9,38,2034.30679736466,45
TCP,5G,8,9,39,1782.5294763870388,45
TCP,5G,8,9,40,1950.339270074944,45
TCP,5G,8,9,41,1929.3858200185346,45
TCP,5G,8,9,42,2044.4551101546801,45
TCP,5G,8,9,43,2003.0490285901394,45
TCP,5G,8,9,44,1848.698977219669,45
TCP,5G,8,9,45,1852.7921896219186,45
TCP,5G,8,9,46,1845.4493210701016,45
TCP,5G,8,9,47,1950.3941409383785,45
TCP,5G,8,9,48,1824.3673931429391,45
TCP,5G,8,9,49,1856.1892887060474,45
TCP,5G,8,9,50,2023.674482944834,45
TCP,5G,8,9,51,1918.9210728797007,45
TCP,5G,8,9,52,1824.4239352969128,45
TCP,5G,8,9,53,1835.0793152714707,45
TCP,5G,8,9,54,1960.8609627899127,45
TCP,5G,8,9,55,2013.2659199999998,45
TCP,5G,8,9,56,1929.3159021189126,45
TCP,5G,8,9,57,1940.0459917734129,45
TCP,5G,8,9,58,1855.8591678048224,45
TCP,5G,8,9,59,1782.5949251387192,45
TCP,5G,8,9,60,1466.5417333821356,45
TCP,5G,8,10,20,1644.0301062649655,45
TCP,5G,8,10,21,1774.4782776395832,45
TCP,5G,8,10,22,2002.8866481616928,45
TCP,5G,8,10,23,2044.647152828445,45
TCP,5G,8,10,24,2034.3354147185169,45
TCP,5G,8,10,25,2013.227520732408,45
TCP,5G,8,10,26,2055.248160747695,45
TCP,5G,8,10,27,2044.8172918296154,45
TCP,5G,8,10,28,2034.1661474986265,45
TCP,5G,8,10,29,2044.6822508200962,45
TCP,5G,8,10,30,2076.1661250992515,45
TCP,5G,8,10,31,2012.1270446099704,45
TCP,5G,8,10,32,2056.4013313774467,45
TCP,5G,8,10,33,2023.6990888667187,45
TCP,5G,8,10,34,2044.7743887814565,45
TCP,5G,8,10,35,2034.2820609787395,45
TCP,5G,8,10,36,2034.227740046253,45
TCP,5G,8,10,37,2044.4838655173376,45
TCP,5G,8,10,38,2044.7987652925065,45
TCP,5G,8,10,39,2065.855780056705,45
TCP,5G,8,10,40,2034.2068854589404,45
TCP,5G,8,10,41,2054.374828679704,45
TCP,5G,8,10,42,1993.0855890759008,45
TCP,5G,8,10,43,2076.232456301172,45
TCP,5G,8,10,44,2065.633159334651,45
TCP,5G,8,10,45,2032.3268810867398,45
TCP,5G,8,10,46,2025.6859394593848,45
TCP,5G,8,10,47,2044.645690438276,45
TCP,5G,8,10,48,2003.0146399490488,45
TCP,5G,8,10,49,2065.535654749488,45
TCP,5G,8,10,50,2055.2045500094628,45
TCP,5G,8,10,51,2023.6629038945205,45
TCP,5G,8,10,52,2086.5637600332243,45
TCP,5G,8,10,53,2023.9138129882529,45
TCP,5G,8,10,54,2034.2578102039788,45
TCP,5G,8,10,55,2065.698660007515,45
TCP,5G,8,10,56,2023.7801479004493,45
TCP,5G,8,10,57,2055.200630033762,45
TCP,5G,8,10,58,2023.715493147072,45
TCP,5G,8,10,59,1981.8024975190383,45
TCP,5G,8,10,60,2008.2535161826238,45
TCP,5G,8,11,20,1551.970183890471,45
TCP,5G,8,11,21,1792.8871376368006,45
TCP,5G,8,11,22,1970.3044464196398,45
TCP,5G,8,11,23,2024.8895719413247,45
TCP,5G,8,11,24,2055.212880007477,45
TCP,5G,8,11,25,2044.8358187024405,45
TCP,5G,8,11,26,2044.6822508200962,45
TCP,5G,8,11,27,2041.770781722463,45
TCP,5G,8,11,28,2005.6765601953848,45
TCP,5G,8,11,29,2076.2572078354683,45
TCP,5G,8,11,30,2065.655320751481,45
TCP,5G,8,11,31,2044.4658323987228,45
TCP,5G,8,11,32,1960.8880788242984,45
TCP,5G,8,11,33,2076.3671117751737,45
TCP,5G,8,11,34,2034.2335600074005,45
TCP,5G,8,11,35,2044.7251500018601,45
TCP,5G,8,11,36,2032.12213189933,45
TCP,5G,8,11,37,2057.3981594441984,45
TCP,5G,8,11,38,2023.7169405963407,45
TCP,5G,8,11,39,2013.225600807479,45
